Nome_Municipio,Nome_Microrregiao
Adamantina,Adamantina
Adolfo,Sao Jose do Rio Preto
Aguai,Pirassununga
aguas da Prata,Sao Joao da Boa Vista
aguas de Lindoia,Amparo
aguas de Santa Barbara,Avare
aguas de Sao Pedro,Piracicaba
Agudos,Bauru
Alambari,Itapetininga
Alfredo Marcondes,Presidente Prudente
Altair,Sao Jose do Rio Preto
Altinopolis,Batatais
Alto Alegre,Birigui
Aluminio,Sorocaba
alvares Florence,Votuporanga
alvares Machado,Presidente Prudente
alvaro de Carvalho,Marilia
Alvinlandia,Marilia
Americana,Campinas
Americo Brasiliense,Araraquara
Americo de Campos,Votuporanga
Amparo,Amparo
Analandia,Sao Carlos
Andradina,Andradina
Angatuba,Itapetininga
Anhembi,Botucatu
Anhumas,Presidente Prudente
Aparecida,Guaratingueta
Aparecida d'Oeste,Jales
Apiai,Capao Bonito
Aracariguama,Sorocaba
Aracatuba,Aracatuba
Aracoiaba da Serra,Sorocaba
Aramina,Ituverava
Arandu,Avare
Arapei,Bananal
Araraquara,Araraquara
Araras,Limeira
Arco-iris,Tupa
Arealva,Bauru
Areias,Bananal
Areiopolis,Bauru
Ariranha,Catanduva
Artur Nogueira,Moji Mirim
Aruja,Guarulhos
Aspasia,Jales
Assis,Assis
Atibaia,Braganca Paulista
Auriflama,Auriflama
Avai,Bauru
Avanhandava,Birigui
Avare,Avare
Bady Bassitt,Sao Jose do Rio Preto
Balbinos,Bauru
Balsamo,Sao Jose do Rio Preto
Bananal,Bananal
Barao de Antonina,Itapeva
Barbosa,Birigui
Bariri,Jau
Barra Bonita,Jau
Barra do Chapeu,Capao Bonito
Barra do Turvo,Registro
Barretos,Barretos
Barrinha,Ribeirao Preto
Barueri,Osasco
Bastos,Tupa
Batatais,Batatais
Bauru,Bauru
Bebedouro,Jaboticabal
Bento de Abreu,Aracatuba
Bernardino de Campos,Ourinhos
Bertioga,Santos
Bilac,Birigui
Birigui,Birigui
Biritiba-Mirim,Mogi das Cruzes
Boa Esperanca do Sul,Araraquara
Bocaina,Jau
Bofete,Botucatu
Boituva,Tatui
Bom Jesus dos Perdoes,Braganca Paulista
Bom Sucesso de Itarare,Itapeva
Bora,Assis
Boraceia,Jau
Borborema,Araraquara
Borebi,Bauru
Botucatu,Botucatu
Braganca Paulista,Braganca Paulista
Brauna,Birigui
